taxon	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group;s__uncultured_Firmicutes	-0.9446213386722546	-0.3740669620402817	0.570554376631973	0.49850121465278313	0.6255041523986333	0.6944061164764418	-1.8949228425254767	-0.5980247462879976	0.8216436507314799	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.17961523257955095	0.16925911805734012	0.0032650695118479614	0.14228012919008842	0.16925911805734015	0.003265069511847977	0.08477713159314221
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Halobacteriovorax;s__uncultured_bacterium	-0.023592048903462493	1.8187300748190804	1.842322123722543	0.3791782492459877	0.477497120768635	0.552707792495496	-0.06221888768772022	3.808881762242756	3.333266056200132	0.9503885214299422	1.3959668730915143e-4	8.583282098831339e-4	1	0.004254907029182935	0.02530351562735479	FALSE	TRUE	TRUE	0.5167938869836706	0.18549804054716018	0	0	0.18549804054716018	0	0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__uncultured;s__uncultured_Acidimicrobiales	0.23263499316030567	0.5900820493860197	0.35744705622571404	0.5095877910256229	0.6392534850486455	0.7077707689631021	0.45651602580998335	0.9230799099063434	0.5050322391095368	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.11618362501305363	0.11485019131421355	0.058068593327040875	0.005285609622451987	0.11485019131421355	0.058068593327040854	0.12122748481767104
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__Babeliaceae;__	-0.23781171702718287	1.3078272640506194	1.5456389810778024	0.3577804566119681	0.45093323808981683	0.5278055407650799	-0.6646861577604344	2.900268052074987	2.9284250764729056	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.34086991599035077	0.2759572387713041	0	0	0.27595723877130407	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;__	0.4114714640658935	-0.5001203527066077	-0.9115918167725012	0.5505254921391454	0.6900251631168689	0.7573475404947286	0.7474158235017645	-0.7247856736811535	-1.203663797702458	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.05097246358708487	0.08880764182044043	0.09326974901655549	0.17581322483400708	0.0888076418204404	0.09326974901655549	0.21497143298592886
d__Bacteria;p__Calditrichota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae;g__Calorithrix;s__bacterium_enrichment	0.31923862516209495	1.5134990464093083	1.1942604212472134	0.525922572758763	0.6595118090127473	0.7275115040069939	0.6070068897927442	2.294877856205384	1.6415691225079685	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.27161475270048935	0.31388617178050143	0	0	0.3138861717805014	0	0.4613753873304449
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Portibacter;s__uncultured_Bacteroidetes	-0.03423412504582364	1.1013526157664637	1.1355867408122873	0.37515949582297836	0.4725092593153152	0.5480174190746809	-0.0912521885411032	2.3308593303808856	2.0721727107319112	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.46890743459196277	0.19866486032511568	0	0	0.19866486032511568	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;__	-1.04086577162822	-0.5612300153461356	0.4796357562820843	0.8965854651192771	1.119385685114817	1.1852328467261202	-1.1609219780177327	-0.5013732289140087	0.40467639553438484	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.018566398085566146	0.01293338186190746	0.015487466996066405	0.010388798981660247	0.012933381861907465	0.015487466996066413	0.00734199973664506
d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Magasanikbacteria;f__Candidatus_Magasanikbacteria;g__Candidatus_Magasanikbacteria;s__uncultured_bacterium	0.05063331527539539	2.3748520609927923	2.324218745717397	0.573020259494328	0.7179251398649794	0.7847261146171008	0.08836217295367126	3.3079382920612477	2.9618215864416286	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.20907244047113183	0.1383340744613831	0	0	0.1383340744613831	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;__;__;__	-0.2548295658143356	1.6440045281836722	1.8988340939980077	0.4211760950446034	0.529603337186811	0.6020754096812726	-0.6050428046903958	3.1042185967264215	3.153814395115746	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.34866279733338346	0.14686288659044702	0	0	0.146862886590447	0	0
